Date,Open,High,Low,Close,Volume,Market Cap,Delta,Average,H-AVG,204.1416685,,,,
8/7/15,2.83,3.54,2.52,2.77,164329,166610555,0.0600,2.915,-200.6016685,,1,,,
8/8/15,2.79,2.8,0.71,0.75,674188,45486894,2.0400,1.7625,-201.3416685,,1,,,
8/9/15,0.71,0.88,0.63,0.7,532170,42399573,0.0100,0.73,-203.2616685,,1,,,
8/10/15,0.71,0.73,0.64,0.71,405283,42818364,0.0000,0.6975,-203.4116685,,1,,,
8/11/15,0.71,1.13,0.66,1.07,1463100,64569288,0.3600,0.8925,-203.0116685,,1,,,
8/12/15,1.06,1.29,0.88,1.22,2150620,73645011,0.1600,1.1125,-202.8516685,,1,,,
8/13/15,1.22,1.97,1.17,1.83,4068680,110607192,0.6100,1.5475,-202.1716685,,1,,,
8/14/15,1.81,2.26,1.75,1.83,4637030,110672322,0.0200,1.9125,-201.8816685,,1,,,
8/15/15,1.8,1.88,1.57,1.69,2554360,102303608,0.1100,1.735,-202.2616685,,1,,,
8/16/15,1.68,1.7,1.09,1.57,3550790,94901005,0.1100,1.51,-202.4416685,,1,,,
8/17/15,1.58,1.58,1.19,1.2,1942830,87295367,0.3800,1.3875,-202.5616685,,1,,,
8/18/15,1.22,1.33,1.09,1.09,1485680,78868413,0.1300,1.1825,-202.8116685,,1,,,
8/19/15,1.17,1.32,1.17,1.26,1486240,91366391,0.0900,1.23,-202.8216685,,1,,,
8/20/15,1.25,1.53,1.25,1.46,2843760,106351420,0.2100,1.3725,-202.6116685,,1,,,
8/21/15,1.48,1.56,1.35,1.4,2020970,101331856,0.0800,1.4475,-202.5816685,,1,,,
8/22/15,1.4,1.48,1.35,1.38,948310,100201826,0.0200,1.4025,-202.6616685,,1,,,
8/23/15,1.38,1.41,1.3,1.35,1589300,98300351,0.0300,1.36,-202.7316685,,1,,,
8/24/15,1.35,1.36,1.23,1.23,924920,89515257,0.1200,1.2925,-202.7816685,,1,,,
8/25/15,1.23,1.24,1.13,1.14,1307180,82922633,0.0900,1.185,-202.9016685,,1,,,
8/26/15,1.13,1.2,1.06,1.16,1056750,84390924,0.0300,1.1375,-202.9416685,,1,,,
8/27/15,1.17,1.19,1.14,1.15,686662,83524585,0.0200,1.1625,-202.9516685,,1,,,
8/28/15,1.15,1.21,1.12,1.19,721872,86731077,0.0400,1.1675,-202.9316685,,1,,,
8/29/15,1.19,1.21,1.15,1.18,375377,86113895,0.0100,1.1825,-202.9316685,,1,,,
8/30/15,1.18,1.37,1.17,1.32,1337650,96097349,0.1400,1.26,-202.7716685,,1,,,
8/31/15,1.32,1.4,1.2,1.36,1447180,98963975,0.0400,1.32,-202.7416685,,1,,,
9/1/15,1.35,1.39,1.34,1.35,778862,98507500,0.0000,1.3575,-202.7516685,,1,,,
9/2/15,1.35,1.35,1.26,1.29,883769,94389544,0.0600,1.3125,-202.7916685,,1,,,
9/3/15,1.3,1.31,1.21,1.26,702991,92234142,0.0400,1.27,-202.8316685,,1,,,
9/4/15,1.26,1.3,1.24,1.27,474391,92953701,0.0100,1.2675,-202.8416685,,1,,,
9/5/15,1.28,1.34,1.27,1.34,448453,97683883,0.0600,1.3075,-202.8016685,,1,,,
9/6/15,1.34,1.37,1.29,1.3,491968,94580164,0.0400,1.325,-202.7716685,,1,,,
9/7/15,1.3,1.31,1.24,1.25,489014,91020735,0.0500,1.275,-202.8316685,,1,,,
9/8/15,1.25,1.28,1.23,1.24,427892,90743242,0.0100,1.25,-202.8616685,,1,,,
9/9/15,1.24,1.26,1.2,1.21,366748,88150125,0.0300,1.2275,-202.8816685,,1,,,
9/10/15,1.21,1.22,1.14,1.17,662782,85202732,0.0400,1.185,-202.9216685,,1,,,
9/11/15,1.16,1.17,0.94,0.98,1942600,71868265,0.1800,1.0625,-202.9716685,,1,,,
9/12/15,0.99,1.11,0.97,1.04,772430,75971273,0.0500,1.0275,-203.0316685,,1,,,
9/13/15,1.04,1.04,0.9,0.94,644138,68480587,0.1000,0.98,-203.1016685,,1,,,
9/14/15,0.94,0.95,0.87,0.88,741085,64084135,0.0600,0.91,-203.1916685,,1,,,
9/15/15,0.88,1.05,0.88,0.94,703390,69141409,0.0600,0.9375,-203.0916685,,1,,,
9/16/15,0.94,0.95,0.9,0.91,615593,66437873,0.0300,0.925,-203.1916685,,1,,,
9/17/15,0.91,0.91,0.83,0.87,897940,64046216,0.0400,0.88,-203.2316685,,1,,,
9/18/15,0.87,0.89,0.83,0.85,484622,62561883,0.0200,0.86,-203.2516685,,1,,,
