Date,Open,High,Low,Close,Volume,Market Cap
5/24/19,88.97,102.75,88.32,99.9,"5,393,657,682","6,185,976,031"
5/23/19,88.2,89.74,85.23,89.18,"3,208,807,269","5,520,439,405"
5/22/19,91.51,92,87.55,88.21,"3,398,528,443","5,459,427,424"
5/21/19,91.57,92.44,89.59,91.51,"3,145,769,021","5,662,154,168"
5/20/19,95.34,95.34,88.57,91.49,"3,566,921,483","5,659,972,915"
5/19/19,86.68,96.54,86.13,95.32,"4,108,852,208","5,895,349,549"
5/18/19,89.01,89.87,85.8,86.7,"3,317,998,478","5,360,906,927"
5/17/19,95.63,97.26,84.94,89,"5,319,840,521","5,501,612,938"
5/16/19,101.57,106.21,92.57,95.59,"6,442,000,276","5,907,639,439"
5/15/19,91.66,103.14,90.82,101.74,"5,168,624,436","6,286,790,205"
5/14/19,88.05,93.37,87.66,91.62,"4,930,071,296","5,659,766,830"
5/13/19,84.63,92.37,84.3,88.06,"4,658,762,984","5,438,466,608"
5/12/19,89.54,93.18,83.82,84.57,"5,582,599,422","5,221,525,879"
5/11/19,77.16,94.54,77.11,89.22,"5,491,744,173","5,507,753,609"
5/10/19,74.19,78.72,73.04,77.17,"3,051,537,532","4,762,537,746"
5/9/19,74.59,75.93,72.99,74.18,"2,436,426,305","4,576,943,366"
5/8/19,74.65,75.32,73.1,74.62,"2,532,851,418","4,603,102,252"
5/7/19,74.98,78.01,74.67,74.69,"3,088,433,048","4,606,527,091"
5/6/19,76.03,76.39,72.33,74.98,"2,933,488,799","4,623,334,243"
5/5/19,78,78.15,75.54,75.98,"2,650,746,461","4,683,927,727"
5/4/19,79.31,82.02,75.8,78.06,"3,502,670,655","4,810,952,019"
5/3/19,73.76,80.42,73.44,79.33,"3,850,339,792","4,887,671,308"
5/2/19,73.68,74.52,73.1,73.78,"2,903,392,114","4,544,823,994"
5/1/19,74.3,75.42,72.3,73.66,"2,871,792,311","4,536,348,667"
4/30/19,67.95,74.67,67.95,74.28,"3,065,300,354","4,573,555,691"
4/29/19,69.78,70.23,67.27,67.96,"2,532,498,296","4,183,425,750"
4/28/19,72.12,72.48,69.08,69.73,"2,362,638,270","4,291,106,337"
4/27/19,73.21,73.33,71.99,72.12,"2,059,777,054","4,437,433,950"
4/26/19,71.36,74.51,70.19,73.12,"3,041,612,619","4,497,581,499"
4/25/19,73.25,74.51,71.06,71.25,"2,754,712,046","4,381,667,236"
4/24/19,74.75,75.24,71.36,73.31,"3,347,048,436","4,507,411,996"
4/23/19,76.85,79.46,74.64,74.85,"2,920,088,568","4,600,847,627"
4/22/19,77.29,77.89,75.7,76.95,"2,657,300,819","4,729,023,682"
4/21/19,81.52,81.89,75.02,77.33,"2,957,685,726","4,751,522,317"
4/20/19,82.55,82.89,80.28,81.51,"2,422,737,857","5,007,238,091"
4/19/19,82.1,83.19,80.43,82.57,"2,608,961,075","5,070,985,398"
4/18/19,79.39,83.2,79.31,82.07,"2,616,912,436","5,039,449,526"
4/17/19,81.35,82,79.08,79.33,"2,060,101,784","4,869,545,082"
4/16/19,79.04,81.84,78.03,81.35,"2,176,907,331","4,992,536,056"
4/15/19,83.01,83.85,76.98,79.05,"2,742,760,721","4,850,589,495"
4/14/19,78.2,82.94,76.98,82.94,"2,328,308,745","5,087,597,683"
4/13/19,78.95,81.1,76.69,78.22,"2,379,257,754","4,797,064,869"
4/12/19,79.63,80.27,76.44,78.96,"2,839,796,022","4,841,472,627"
4/11/19,88.39,88.52,76.66,79.68,"3,461,536,000","4,884,140,000"
4/10/19,86.77,90.35,86.75,88.38,"2,765,900,677","5,416,155,738"
4/9/19,89.5,89.5,85.01,86.79,"2,742,631,078","5,317,455,486"
4/8/19,92.33,93.82,87.06,89.49,"3,295,695,862","5,482,058,437"
4/7/19,92.42,95.39,90.09,92.31,"3,314,848,880","5,653,406,711"
4/6/19,88.71,96.74,86.31,92.57,"3,857,950,929","5,667,977,476"
4/5/19,85.04,89.58,84.92,88.68,"3,512,861,847","5,428,143,571"
4/4/19,85.17,89.34,81.57,84.98,"4,195,622,761","5,200,609,305"
4/3/19,76.26,97.5,76.01,84.92,"6,206,102,119","5,195,750,178"
4/2/19,60.7,77.41,60.54,76.19,"4,161,362,861","4,660,552,088"
4/1/19,60.77,60.99,60.41,60.68,"1,712,538,382","3,710,564,698"
3/31/19,60.64,60.85,60.21,60.76,"1,646,531,872","3,714,371,560"
3/30/19,61.25,64.11,60.37,60.62,"1,698,116,593","3,705,312,023"
3/29/19,61.17,61.53,60.26,61.3,"1,977,436,351","3,745,935,357"
3/28/19,62.22,62.22,60.75,61.17,"1,818,355,774","3,737,005,102"
3/27/19,59.41,62.29,59.33,62.25,"2,220,590,688","3,802,058,092"
3/26/19,59.51,59.65,58.33,59.34,"2,020,400,713","3,623,575,890"
3/25/19,60.3,60.93,59,59.5,"2,057,863,894","3,632,066,769"
3/24/19,61.24,61.25,59.71,60.22,"2,041,814,465","3,675,521,098"
3/23/19,59.79,61.71,59.51,61.35,"2,009,701,790","3,743,278,484"
3/22/19,59.3,60.28,58.89,59.82,"1,660,894,830","3,649,353,013"
3/21/19,60.87,61.08,58.74,59.38,"1,766,689,848","3,621,232,358"
3/20/19,60.68,60.96,58.57,60.85,"1,990,264,182","3,709,898,340"
3/19/19,60.22,60.95,59.75,60.62,"1,824,124,623","3,694,945,405"
3/18/19,61.28,62.77,59.5,60.26,"1,971,826,811","3,672,726,327"
3/17/19,61.88,61.99,60.78,61.24,"1,609,232,029","3,731,425,001"
3/16/19,58.99,62.09,58.99,61.84,"1,997,899,601","3,767,063,536"
3/15/19,56.54,59.39,56.54,58.99,"1,824,454,595","3,592,290,246"
3/14/19,55.86,57.76,55.79,56.58,"1,610,293,200","3,445,001,358"
3/13/19,57.08,57.21,55.43,55.93,"1,465,625,295","3,404,536,113"
3/12/19,55.41,57.26,53.5,57,"1,666,711,996","3,468,475,222"
3/11/19,57.19,57.85,54.83,55.42,"1,839,260,243","3,371,760,953"
3/10/19,58.1,58.25,56.59,57.18,"1,778,709,344","3,478,033,205"
3/9/19,56,59.29,56,58.09,"2,145,350,395","3,532,242,783"
3/8/19,57.44,57.65,55.45,56.1,"1,977,538,387","3,410,590,890"
3/7/19,55.84,59,55.08,57.19,"2,410,843,754","3,475,995,867"
3/6/19,53.02,56.27,52.28,55.78,"1,998,850,452","3,389,799,196"
3/5/19,46.52,54.02,46.14,53.13,"2,000,300,862","3,227,895,751"
3/4/19,48.33,48.65,45.85,46.43,"1,243,464,082","2,820,102,325"
3/3/19,49.02,49.39,48.09,48.38,"1,102,677,211","2,937,680,218"
3/2/19,47.48,49.64,47.46,49.02,"1,227,656,624","2,975,500,410"
3/1/19,46.24,48.99,46.15,47.49,"1,175,425,172","2,882,042,603"
2/28/19,45.62,46.92,45.6,46.24,"1,119,495,712","2,805,515,464"
2/27/19,45.5,46.14,44.41,45.58,"1,061,879,935","2,765,113,387"
2/26/19,46.18,46.52,45.09,45.49,"1,060,325,373","2,758,957,944"
2/25/19,44.58,47.19,44.58,46.21,"1,212,141,472","2,802,048,987"
2/24/19,51.68,53.42,43.66,44.68,"1,618,048,131","2,708,358,746"
2/23/19,49.67,51.89,48.67,51.68,"1,278,039,837","3,132,087,064"
2/22/19,49.13,50.03,48.72,49.81,"1,213,665,948","3,017,677,753"
2/21/19,51.84,51.84,48.68,49.15,"1,259,734,341","2,977,341,432"
2/20/19,47.82,52.16,47.41,51.79,"1,582,934,318","3,136,141,808"
2/19/19,48.14,49.18,47.27,47.86,"1,417,050,580","2,897,971,715"
2/18/19,43.88,49.22,43.84,48.04,"1,462,180,271","2,908,055,843"
2/17/19,43.4,44.65,42.91,43.93,"1,089,205,822","2,658,324,155"
2/16/19,42.76,44.18,42.57,43.59,"1,017,844,635","2,637,500,546"
2/15/19,41.64,43.68,41.62,42.7,"1,043,820,661","2,582,708,735"
2/14/19,41.88,42.55,41.27,41.64,"997,741,394","2,518,031,066"
2/13/19,43.83,44.51,41.42,42,"1,087,815,590","2,539,018,995"
2/12/19,43.17,44.14,42.54,43.93,"1,098,569,294","2,655,115,121"
2/11/19,46.88,46.88,42.4,43.18,"1,229,169,302","2,609,389,133"
2/10/19,44.76,47.09,42.9,46.83,"1,420,578,823","2,828,937,241"
2/9/19,43.02,45.86,42.27,44.79,"1,509,978,243","2,705,200,909"
2/8/19,33.24,43.9,33.01,43.46,"1,721,691,113","2,624,516,069"
2/7/19,32.91,33.59,32.88,33.22,"652,002,936","2,005,595,915"
2/6/19,34.35,34.35,32.54,32.93,"748,545,366","1,987,640,111"
2/5/19,34.01,34.39,33.78,34.26,"708,712,284","2,067,028,132"
2/4/19,33.46,34.43,33.46,34.11,"740,036,504","2,057,598,930"
2/3/19,34.43,34.57,33.12,33.44,"820,461,891","2,016,740,848"
2/2/19,32.82,34.56,32.73,34.39,"829,064,166","2,073,872,814"
2/1/19,31.72,33.45,31.13,32.83,"825,977,656","1,978,856,939"
1/31/19,31.89,32.44,31.4,31.65,"654,137,406","1,907,587,556"
1/30/19,31.07,32.09,30.86,31.93,"694,822,148","1,923,945,742"
1/29/19,31.24,31.46,30.44,31.1,"707,842,400","1,873,246,050"
1/28/19,32.52,32.72,30.52,31.2,"812,860,294","1,878,928,921"
1/27/19,33.08,33.35,32.08,32.59,"678,149,673","1,962,484,749"
1/26/19,32.97,33.95,32.87,33.15,"694,481,467","1,995,530,698"
1/25/19,32.82,33.21,32.27,32.98,"661,476,020","1,984,872,676"
1/24/19,32.04,33.04,31.43,32.78,"614,405,338","1,971,999,182"
1/23/19,31.67,32.39,31.56,32,"613,521,888","1,924,964,952"
1/22/19,31.21,32.02,30.32,31.68,"589,374,367","1,905,392,084"
1/21/19,31.19,31.39,30.96,31.21,"531,048,792","1,876,573,922"
1/20/19,32.49,33.35,30.94,31.18,"584,024,741","1,873,953,844"
1/19/19,31.48,33.11,31.37,32.55,"585,789,957","1,956,101,651"
1/18/19,31.91,31.94,30.96,31.31,"566,482,194","1,881,176,121"
1/17/19,31.85,31.95,30.68,31.89,"609,389,197","1,915,371,847"
1/16/19,31.44,32.25,31.27,31.82,"539,347,966","1,910,976,281"
1/15/19,32.38,32.71,31.08,31.51,"527,294,088","1,891,520,613"
1/14/19,30.38,32.73,30.31,32.36,"593,098,938","1,942,198,294"
1/13/19,32.4,33.14,30.13,30.33,"564,244,096","1,820,214,944"
1/12/19,32.46,32.94,32.03,32.38,"491,524,393","1,942,860,854"
1/11/19,33.68,34.1,32.05,32.33,"628,980,637","1,938,944,919"
1/10/19,38.99,39.52,33.03,33.87,"701,124,437","2,030,671,878"
1/9/19,39.45,40.28,38.9,38.99,"504,601,883","2,337,068,756"
1/8/19,37.92,40.95,37.92,39.48,"643,946,959","2,366,141,319"
1/7/19,39.28,39.65,37.61,37.81,"586,891,613","2,265,284,886"
1/6/19,34.85,39.96,34.78,39.3,"809,493,170","2,354,185,201"
1/5/19,32.35,36.14,32.34,34.94,"640,607,603","2,092,365,506"
1/4/19,32.02,33.02,31.44,32.4,"391,010,579","1,940,204,515"
1/3/19,33.35,33.42,31.59,32.03,"345,068,249","1,917,129,494"
1/2/19,32.02,33.79,31.77,33.43,"414,331,918","2,000,859,669"
1/1/19,30.46,32.1,30.26,31.98,"379,429,124","1,913,387,274"
12/31/18,31.98,32,30.16,30.47,"367,746,437","1,822,504,811"
12/30/18,31.42,32.38,31.17,31.98,"405,650,440","1,912,263,648"
12/29/18,32.56,33.34,31.52,31.57,"390,868,406","1,887,178,390"
12/28/18,28.3,33.36,28.3,32.51,"486,919,645","1,943,259,589"
12/27/18,30.96,31.36,28.13,28.29,"442,100,051","1,690,851,757"
12/26/18,31.09,32.2,29.75,30.99,"464,721,770","1,851,236,647"
12/25/18,33.4,33.4,30.45,31.13,"508,836,253","1,859,663,792"
12/24/18,33.47,36.56,33.2,33.2,"535,897,387","1,982,394,885"
12/23/18,31.99,34.15,31.8,33.46,"554,317,219","1,997,631,552"
12/22/18,30.83,31.86,30.33,31.86,"419,546,205","1,901,410,380"
12/21/18,32.73,34.28,30.3,30.8,"546,504,526","1,837,728,497"
12/20/18,29.6,33.26,29.41,32.82,"796,645,103","1,957,741,036"
12/19/18,30.33,31.77,29.45,29.68,"505,439,992","1,770,286,212"
12/18/18,29.27,30.14,28.25,30.14,"492,064,386","1,797,254,323"
12/17/18,25.68,30.4,25.68,29.27,"613,385,969","1,744,804,499"
12/16/18,23.79,26.73,23.78,25.6,"424,549,776","1,525,579,986"
12/15/18,23.46,24.12,23.34,23.78,"291,476,162","1,417,098,012"
